Country/Region;Region;PaysUN
Italy;Europe;Italy
China;China;China
Spain;Europe;Spain
Iran;Middle East;Iran (Islamic Republic of)
France;Europe;France
US;North America;United States of America
United Kingdom;Europe;United Kingdom
Netherlands;Europe;Netherlands
Germany;Europe;Germany
Switzerland;Europe;Switzerland
Belgium;Europe;Belgium
Korea, South;Asia;Republic of Korea
Indonesia;Asia;Indonesia
Brazil;South America;Brazil
Turkey;Middle East;Turkey
Japan;Asia;Japan
Sweden;Europe;Sweden
Philippines;Asia;Philippines
Portugal;Europe;Portugal
Denmark;Europe;Denmark
Austria;Europe;Austria
Iraq;Middle East;Iraq
Ecuador;South America;Ecuador
Canada;North America;Canada
San Marino;Europe;San Marino
Greece;Europe;Greece
Egypt;Middle East;Egypt
Algeria;Africa;Algeria
Malaysia;Asia;Malaysia
Norway;Europe;Norway
Romania;Europe;Romania
India;Asia;India
Diamond Princess;Asia;Diamond Princess
Poland;Europe;Poland
Hungary;Europe;Hungary
Luxembourg;Europe;Luxembourg
Australia;Oceania;Australia
Peru;South America;Peru
Pakistan;Asia;Pakistan
Ireland;Europe;Ireland
Panama;South America;Panama
Argentina;South America;Argentina
Dominican Republic;South America;Dominican Republic
Morocco;Africa;Morocco
Albania;Europe;Albania
Iceland;Europe;Iceland
Burkina Faso;Africa;Burkina Faso
Thailand;Asia;Thailand
Bangladesh;Asia;Bangladesh
Mexico;North America;Mexico
Slovenia;Europe;Slovenia
Tunisia;Africa;Tunisia
Lebanon;Middle East;Lebanon
Serbia;Europe;Serbia
Colombia;South America;Colombia
Cyprus;Europe;Cyprus
Czechia;Europe;Czechia
Bahrain;Asia;Bahrain
Ukraine;Europe;Ukraine
Kazakhstan;Asia;Kazakhstan
Bulgaria;Europe;Bulgaria
Bosnia and Herzegovina;Europe;Bosnia and Herzegovina
Israel;Middle East;Israel
Chile;South America;Chile
Ghana;Africa;Ghana
Singapore;Asia;Singapore
North Macedonia;Europe;North Macedonia
Mauritius;Africa;Mauritius
Taiwan*;Asia;China, Taiwan Province of China
Lithuania;Europe;Lithuania
Paraguay;South America;Paraguay
Costa Rica;South America;Costa Rica
Congo (Kinshasa);Africa;Congo (Kinshasa)
United Arab Emirates;Middle East;United Arab Emirates
Cabo Verde;Africa;Cabo Verde
Guatemala;South America;Guatemala
Jamaica;South America;Jamaica
Guyana;South America;Guyana
Gabon;Africa;Gabon
Croatia;Europe;Croatia
Cuba;South America;Cuba
Afghanistan;Asia;Afghanistan
Azerbaijan;Asia;Azerbaijan
Gambia;Africa;Gambia
Andorra;Europe;Andorra
Nigeria;Africa;Nigeria
Russia;Russia;Russian Federation
Slovakia;Europe;Slovakia
Moldova;Europe;Moldova
Saudi Arabia;Middle East;Saudi Arabia
Sudan;Africa;Sudan
Montenegro;Europe;Montenegro
Finland;Europe;Finland
Zimbabwe;Africa;Zimbabwe
Kyrgyzstan;Asia;Kyrgyzstan
Liechtenstein;Europe;Liechtenstein
Jordan;Middle East;Jordan
Liberia;Africa;Liberia
Libya;Africa;Libya
Kuwait;Middle East;Kuwait
Togo;Africa;Togo
Maldives;Asia;Maldives
Madagascar;Africa;Madagascar
Mauritania;Africa;Mauritania
Malta;Europe;Malta
Grenada;Africa;Grenada
Laos;Asia;Laos
Latvia;Asia;Latvia
Mongolia;Asia;Mongolia
Guinea;Africa;Guinea
Monaco;Europe;Monaco
Georgia;Asia;Georgia
Nicaragua;South America;Nicaragua
Mozambique;Africa;Mozambique
New Zealand;Oceania;New Zealand
Ethiopia;Africa;Ethiopia
Niger;Africa;Niger
Somalia;Africa;Somalia
Eswatini;Africa;Eswatini
Fiji;Oceania;Fiji
Estonia;Europe;Estonia
Eritrea;Africa;Eritrea
Equatorial Guinea;Africa;Equatorial Guinea
Papua New Guinea;Oceania;Papua New Guinea
El Salvador;South America;El Salvador
Oman;Middle East;Oman
Namibia;Africa;Namibia
Dominica;South America;Dominica
Nepal;Asia;Nepal
Djibouti;Africa;Djibouti
Honduras;South America;Honduras
Saint Lucia;South America;Saint Lucia
Qatar;Middle East;Qatar
Cote d'Ivoire;Africa;Cote d'Ivoire
Rwanda;Africa;Rwanda
Senegal;Africa;Senegal
Uruguay;South America;Uruguay
Antigua and Barbuda;South America;Antigua and Barbuda
Congo (Brazzaville);Africa;Congo (Brazzaville)
Saint Vincent and the Grenadines;South America;Saint Vincent and the Grenadines
Seychelles;Asia;Seychelles
Cameroon;Africa;Cameroon
Central African Republic;Africa;Central African Republic
Kenya;Africa;Kenya
Cambodia;Asia;Cambodia
South Africa;Africa;South Africa
Sri Lanka;Asia;Sri Lanka
Chad;Africa;Chad
Suriname;South America;Suriname
Brunei;Asia;Brunei
Armenia;Middle East;Armenia
Trinidad and Tobago;South America;Trinidad and Tobago
Bahamas;South America;Bahamas
Bolivia;South America;Bolivia
Bhutan;Asia;Bhutan
Timor-Leste;Oceania;Timor-Leste
Holy See;Europe;Holy See
Haiti;South America;Haiti
Belarus;Europe;Belarus
Barbados;South America;Barbados
Benin;Africa;Benin
Vietnam;Asia;Vietnam
Uzbekistan;Asia;Uzbekistan
Uganda;Africa;Uganda
Zambia;Africa;Zambia
Angola;Africa;Angola
Belize;South America;Belize
Syria;Middle East;Syria
Venezuela;South America;Venezuela
Tanzania;Africa;Tanzania
