Country/Region;Colonne1;PaysUN
Italy;Europe;Italy
China;Chine;China
Spain;Europe;Spain
Iran;Middle East;Iran (Islamic Republic of)
France;Europe;France
US;North America;United States of America
United Kingdom;Europe;United Kingdom
Netherlands;Europe;Netherlands
Germany;Europe;Germany
Switzerland;Europe;Switzerland
Belgium;Europe;Belgium
Korea, South;Asie;Republic of Korea
Indonesia;Asie;Indonesia
Brazil;South America;Brazil
Turkey;Middle East;Turkey
Japan;Asie;Japan
Sweden;Europe;Sweden
Philippines;Asie;Philippines
Portugal;Europe;Portugal
Denmark;Europe;Denmark
Austria;Europe;Austria
Iraq;Middle East;Iraq
Ecuador;South America;Ecuador
Canada;North America;Canada
San Marino;Europe;San Marino
Greece;Europe;Greece
Egypt;Middle East;Egypt
Algeria;Afrique;Algeria
Malaysia;Asie;Malaysia
Norway;Europe;Norway
Romania;Europe;Romania
India;Asie;India
Diamond Princess;Asie;Diamond Princess
Poland;Europe;Poland
Hungary;Europe;Hungary
Luxembourg;Europe;Luxembourg
Australia;Oceanie;Australia
Peru;South America;Peru
Pakistan;Asie;Pakistan
Ireland;Europe;Ireland
Panama;South America;Panama
Argentina;South America;Argentina
Dominican Republic;South America;Dominican Republic
Morocco;Afrique;Morocco
Albania;Europe;Albania
Iceland;Europe;Iceland
Burkina Faso;Afrique;Burkina Faso
Thailand;Asie;Thailand
Bangladesh;Asie;Bangladesh
Mexico;North America;Mexico
Slovenia;Europe;Slovenia
Tunisia;Afrique;Tunisia
Lebanon;Middle East;Lebanon
Serbia;Europe;Serbia
Colombia;South America;Colombia
Cyprus;Europe;Cyprus
Czechia;Europe;Czechia
Bahrain;Asie;Bahrain
Ukraine;Europe;Ukraine
Kazakhstan;Asie;Kazakhstan
Bulgaria;Europe;Bulgaria
Bosnia and Herzegovina;Europe;Bosnia and Herzegovina
Israel;Middle East;Israel
Chile;South America;Chile
Ghana;Afrique;Ghana
Singapore;Asie;Singapore
North Macedonia;Europe;North Macedonia
Mauritius;Afrique;Mauritius
Taiwan*;Asie;China, Taiwan Province of China
Lithuania;Europe;Lithuania
Paraguay;South America;Paraguay
Costa Rica;South America;Costa Rica
Congo (Kinshasa);Afrique;Congo (Kinshasa)
United Arab Emirates;Middle East;United Arab Emirates
Cabo Verde;Afrique;Cabo Verde
Guatemala;South America;Guatemala
Jamaica;South America;Jamaica
Guyana;South America;Guyana
Gabon;Afrique;Gabon
Croatia;Europe;Croatia
Cuba;South America;Cuba
Afghanistan;Asie;Afghanistan
Azerbaijan;Asie;Azerbaijan
Gambia;Afrique;Gambia
Andorra;Europe;Andorra
Nigeria;Afrique;Nigeria
Russia;Russie;Russian Federation
Slovakia;Europe;Slovakia
Moldova;Europe;Moldova
Saudi Arabia;Middle East;Saudi Arabia
Sudan;Afrique;Sudan
Montenegro;Europe;Montenegro
Finland;Europe;Finland
Zimbabwe;Afrique;Zimbabwe
Kyrgyzstan;Asie;Kyrgyzstan
Liechtenstein;Europe;Liechtenstein
Jordan;Middle East;Jordan
Liberia;Afrique;Liberia
Libya;Afrique;Libya
Kuwait;Middle East;Kuwait
Togo;Afrique;Togo
Maldives;Asie;Maldives
Madagascar;Afrique;Madagascar
Mauritania;Afrique;Mauritania
Malta;Europe;Malta
Grenada;Afrique;Grenada
Laos;Asie;Laos
Latvia;Asie;Latvia
Mongolia;Asie;Mongolia
Guinea;Afrique;Guinea
Monaco;Europe;Monaco
Georgia;Asie;Georgia
Nicaragua;South America;Nicaragua
Mozambique;Afrique;Mozambique
New Zealand;Oceanie;New Zealand
Ethiopia;Afrique;Ethiopia
Niger;Afrique;Niger
Somalia;Afrique;Somalia
Eswatini;Afrique;Eswatini
Fiji;Oceanie;Fiji
Estonia;Europe;Estonia
Eritrea;Afrique;Eritrea
Equatorial Guinea;Afrique;Equatorial Guinea
Papua New Guinea;Oceanie;Papua New Guinea
El Salvador;South America;El Salvador
Oman;Middle East;Oman
Namibia;Afrique;Namibia
Dominica;South America;Dominica
Nepal;Asie;Nepal
Djibouti;Afrique;Djibouti
Honduras;South America;Honduras
Saint Lucia;South America;Saint Lucia
Qatar;Middle East;Qatar
Cote d'Ivoire;Afrique;Cote d'Ivoire
Rwanda;Afrique;Rwanda
Senegal;Afrique;Senegal
Uruguay;South America;Uruguay
Antigua and Barbuda;South America;Antigua and Barbuda
Congo (Brazzaville);Afrique;Congo (Brazzaville)
Saint Vincent and the Grenadines;South America;Saint Vincent and the Grenadines
Seychelles;Asie;Seychelles
Cameroon;Afrique;Cameroon
Central African Republic;Afrique;Central African Republic
Kenya;Afrique;Kenya
Cambodia;Asie;Cambodia
South Africa;Afrique;South Africa
Sri Lanka;Asie;Sri Lanka
Chad;Afrique;Chad
Suriname;South America;Suriname
Brunei;Asie;Brunei
Armenia;Middle East;Armenia
Trinidad and Tobago;South America;Trinidad and Tobago
Bahamas;South America;Bahamas
Bolivia;South America;Bolivia
Bhutan;Asie;Bhutan
Timor-Leste;Oceanie;Timor-Leste
Holy See;Europe;Holy See
Haiti;South America;Haiti
Belarus;Europe;Belarus
Barbados;South America;Barbados
Benin;Afrique;Benin
Vietnam;Asie;Vietnam
Uzbekistan;Asie;Uzbekistan
Uganda;Afrique;Uganda
Zambia;Afrique;Zambia
Angola;Afrique;Angola
Belize;South America;Belize
Syria;Middle East;Syria
Venezuela;South America;Venezuela
Tanzania;Afrique;Tanzania
